h_s1,h_s2,s_a1,log,ty_cr,per_i,per_u,per_s,sys_vol,sys_op,m_rp,q_zx,q_km,m_xi,v_sp,class
0.628545,65,183,NE,7,2.275831,0.579416,0.219775,0.078677,0.054944,0.055808,0.086641,1.614312,0.069395,0.006413,benign
0.722738,94,40,E,4,3.413746,0.370079,0.388725,0.035583,0.055532,0.569975,1.648515,54.681382,0.120203,0.007552,benign
0.46037,89,133,N,4,3.413746,0.336147,0.191253,0.007835,0.015938,0.02833,0.017708,12.34331,0.131832,0.004365,benign
0.0296,61,125,E,4,4.551661,0.296409,0.199875,0.142089,0.039975,0.137914,3.843842,4.417937,0.142102,0.005324,benign
0.87817,78,246,S,6,4.551661,0.707766,0.330411,0.061189,0.082603,0.818331,0.072186,60.872714,0.040391,0.012659,benign
0.976326,59,179,S,5,5.689577,0.361614,0.211019,0.021962,0.042204,0.205361,0.219282,53.202168,0.115845,0.016734,benign
0.944362,74,188,S,2,4.551661,0.161807,0.066954,0.017424,0.066954,0.220869,0.097337,57.698746,0.212841,0.002944,benign
0.989718,81,248,SW,4,5.689577,0.325826,0.224705,0.043573,0.044941,0.673677,0.050861,87.965053,0.127714,0.002477,benign
0.536401,90,41,N,8,7.965407,0.509602,0.360817,0.231183,0.060136,0.245955,4.622554,8.474356,0.073942,0.011266,benign
0.039426,78,140,NE,3,6.827492,0.555562,0.410064,0.056403,0.136688,0.194885,0.090871,23.590548,0.065579,0.008945,benign
0.156958,62,37,N,6,1.137915,0.165482,0.012766,0.000305,0.006383,0.013825,0.000417,51.526581,0.250854,0.01947,benign
0.162757,76,67,S,5,2.275831,0.819994,0.746467,0.177377,0.373234,0.503435,0.423692,6.459305,0.025236,0.000187,benign
0.591391,94,242,E,2,3.413746,0.17038,0.056745,0.049648,0.011349,0.41115,0.135051,28.270334,0.214002,0.002827,benign
0.892234,96,198,SW,3,2.275831,0.354846,0.129211,0.010107,0.025842,0.164258,0.015055,36.986522,0.131745,0.012787,benign
0.825477,70,179,SE,9,7.965407,0.490071,0.709748,0.042591,0.088719,0.391907,0.04265,73.294558,0.078228,0.012122,benign
0.436109,76,204,SE,6,5.689577,0.403958,0.709748,0.042591,0.088719,0.391907,0.04265,28.347889,0.103234,0.016283,benign
0.40061,64,151,S,5,5.689577,0.249909,0.709748,0.042591,0.088719,0.391907,0.04265,33.225702,0.157925,0.021297,benign
